Customer_Name,Age,Gender,Visited_With_Family,Room_No,Num_Of_People,Reason_To_Visit,Room_Type,Cleanliness_Rating,Comfort_Rating,Staff_Performance,Facilities_Rating,Location_Rating,Overall_Satisfaction_Score
Vishal,20,Male,Yes,401,1,Business,Single Room,5,4,2,4,1,3.2
Smita,48,Female,No,1003,2,Travel,Double Room,1,3,3,5,1,2.6
Vijay,70,Male,No,305,1,Travel,Single Room,1,4,4,1,1,2.2
Vivek,51,Male,Yes,508,3,Vacation,Suite,5,2,2,1,3,2.6
Bharat,53,Male,No,310,3,Vacation,Suite,5,3,4,1,1,2.8
Vikas,21,Male,Yes,508,4,Travel,Suite,2,2,4,4,3,3
Geeta,27,Female,Yes,1004,2,Travel,Double Room,5,3,4,3,3,3.6
Sameer,19,Male,Yes,304,1,Travel,Single Room,5,4,3,5,4,4.2
Pradeep,70,Male,No,109,2,Travel,Double Room,3,2,2,4,5,3.2
Karthik,44,Male,No,203,1,Vacation,Single Room,1,4,5,4,1,3
Dinesh,36,Male,No,904,2,Vacation,Double Room,4,2,4,5,2,3.4
Rashmi,66,Female,Yes,1006,3,Vacation,Suite,3,5,4,2,2,3.2
Suman,28,Female,Yes,1003,2,Education,Double Room,5,3,2,2,5,3.4
Leela,34,Female,No,708,3,Travel,Suite,1,3,3,4,3,2.8
Lalit,26,Male,Yes,507,3,Travel,Suite,1,4,4,3,3,3
Kiran,32,Female,Yes,707,3,Travel,Suite,2,1,1,1,2,1.4
Rana,22,Male,No,507,3,Vacation,Suite,3,3,3,4,4,3.4
Rohan,31,Male,No,103,1,Vacation,Single Room,4,4,1,2,3,2.8
Lakshmi,28,Female,Yes,701,2,Vacation,Single Room,1,3,5,4,2,3
Swati,20,Female,Yes,901,1,Vacation,Single Room,1,4,2,2,5,2.8
Vinod,21,Male,No,705,2,Vacation,Double Room,4,3,2,3,5,3.4
Harsha,62,Female,Yes,209,3,Business,Suite,4,3,4,5,2,3.6
Aditya,35,Male,No,902,1,Vacation,Single Room,5,4,5,4,2,4
Akash,36,Male,No,805,3,Business,Suite,4,2,5,2,1,2.8
Rohan,30,Male,No,504,1,Education,Single Room,2,4,5,1,2,2.8
Riya,44,Female,Yes,210,4,Travel,Suite,1,3,5,2,2,2.6
Parvati,39,Female,Yes,905,4,Travel,Suite,3,3,1,4,2,2.6
Shreya,39,Male,Yes,702,1,Vacation,Single Room,1,4,3,2,5,3
Mahesh,55,Female,Yes,507,3,Travel,Suite,1,1,3,5,2,2.4
Kapil,70,Male,No,407,3,Vacation,Suite,4,2,2,3,3,2.8
Preeti,20,Female,No,208,2,Travel,Double Room,2,1,5,5,2,3
Rahul,41,Male,Yes,202,2,Travel,Single Room,4,3,5,2,2,3.2
Sameer,25,Male,Yes,1001,2,Travel,Single Room,2,3,3,3,2,2.6
Shreya,42,Female,Yes,1010,3,Business,Suite,3,2,5,5,3,3.6
Mahesh,41,Female,Yes,508,3,Travel,Suite,4,5,1,5,4,3.8
Deepak,44,Male,Yes,508,4,Vacation,Suite,5,4,4,2,5,4
Riya,64,Female,No,405,2,Business,Double Room,2,1,2,3,2,2
Shreya,21,Female,Yes,905,3,Education,Suite,2,2,2,3,2,2.2
Pankaj,19,Male,Yes,309,4,Vacation,Suite,5,2,3,2,3,3
Nandini,31,Female,Yes,1004,3,Education,Double Room,2,1,2,5,3,2.6
Manish,19,Male,No,109,2,Education,Double Room,3,5,5,4,4,4.2
Krishna,62,Male,Yes,207,3,Business,Double Room,1,3,2,2,1,1.8
Pradeep,62,Male,Yes,507,4,Vacation,Suite,5,5,3,3,4,4
Vishal,66,Male,No,402,1,Vacation,Single Room,3,2,4,5,5,3.8
Aishwarya,42,Female,Yes,307,3,Education,Double Room,2,4,4,1,1,2.4
Bhavna,29,Female,No,406,2,Travel,Double Room,5,3,3,5,2,3.6
Akash,22,Male,No,401,1,Vacation,Single Room,5,5,2,1,2,3
Parvati,59,Female,No,706,2,Education,Double Room,5,1,2,4,1,2.6
Krishna,36,Male,No,1003,2,Business,Double Room,2,4,2,2,2,2.4
Meera,33,Female,Yes,1005,4,Education,Suite,4,5,1,5,1,3.2
Mehul,31,Male,No,104,1,Travel,Single Room,3,5,4,4,5,4.2
Geeta,55,Female,No,104,1,Vacation,Single Room,2,3,5,2,3,3
Amit,65,Male,No,501,1,Vacation,Single Room,1,4,4,1,5,3
Tanvi,47,Female,No,305,1,Travel,Single Room,1,4,2,5,2,2.8
Bhavna,44,Female,No,209,3,Vacation,Suite,1,3,5,3,5,3.4
Shreya,25,Male,No,802,1,Travel,Single Room,4,2,5,2,2,3
Tanvi,41,Female,No,1004,2,Vacation,Double Room,1,1,1,2,2,1.4
Vivek,54,Male,No,906,3,Education,Suite,3,1,3,4,2,2.6
Tarun,53,Male,No,804,2,Business,Double Room,2,4,1,1,2,2
Kabir,20,Male,Yes,604,1,Business,Single Room,3,5,2,5,1,3.2
Anushka,28,Female,Yes,1007,4,Education,Suite,3,5,2,1,5,3.2
Shivani,39,Female,Yes,1005,4,Vacation,Suite,5,5,2,2,2,3.2
Yash,22,Male,No,805,3,Education,Suite,3,3,4,5,5,4
Nikhil,18,Male,No,801,1,Business,Single Room,5,2,2,3,2,2.8
Sunita,18,Female,Yes,310,4,Business,Suite,5,5,3,2,1,3.2
Sanjay,26,Male,Yes,407,3,Vacation,Suite,2,1,3,4,2,2.4
Aishwarya,27,Female,Yes,708,4,Travel,Suite,5,1,3,2,4,3
Nisha,23,Female,Yes,303,2,Education,Single Room,4,2,4,5,5,4
Tanya,37,Female,No,508,3,Travel,Suite,2,3,2,2,2,2.2
Sonia,67,Female,No,1010,3,Vacation,Suite,4,4,2,1,5,3.2
Pankaj,50,Male,No,707,3,Vacation,Suite,3,5,5,1,1,3
Vihaan,25,Male,Yes,606,2,Vacation,Double Room,1,3,1,1,5,2.2
Nandini,31,Female,No,1002,1,Business,Single Room,5,5,5,4,2,4.2
Deepika,61,Female,No,302,1,Travel,Single Room,1,5,2,5,1,2.8
Ramu,44,Male,Yes,402,2,Business,Single Room,3,1,5,4,3,3.2
Harsha,27,Female,No,906,3,Travel,Suite,1,2,3,1,3,2
Ananya,51,Female,Yes,402,2,Business,Single Room,2,2,1,1,1,1.4
Shreya,27,Male,No,207,2,Education,Double Room,4,1,2,5,3,3
Amit,61,Male,No,701,1,Vacation,Single Room,4,1,5,5,4,3.8
Aryan,49,Male,Yes,205,1,Travel,Single Room,5,3,1,3,5,3.4
Aishwarya,44,Female,No,1004,2,Vacation,Double Room,4,5,2,4,1,3.2
Sai,19,Male,No,707,3,Business,Suite,4,2,5,4,2,3.4
Rana,48,Male,No,208,2,Education,Double Room,5,3,1,5,5,3.8
Akash,36,Male,Yes,507,4,Travel,Suite,2,4,2,3,2,2.6
Kabir,22,Male,Yes,601,2,Education,Single Room,1,4,5,2,1,2.6
Akash,70,Male,No,1004,2,Travel,Double Room,2,5,2,1,1,2.2
Akash,37,Male,No,905,3,Education,Suite,3,5,3,1,3,3
Lakshmi,37,Female,Yes,603,2,Education,Single Room,3,3,1,1,3,2.2
Sunita,48,Female,No,505,2,Vacation,Double Room,5,5,4,5,1,4
Indira,47,Female,Yes,310,3,Vacation,Suite,4,5,1,4,2,3.2
Naina,24,Female,Yes,604,2,Travel,Single Room,3,3,4,3,2,3
Ritika,27,Female,No,503,1,Education,Single Room,3,5,1,2,1,2.4
Ramu,69,Male,Yes,706,2,Vacation,Double Room,1,3,2,4,3,2.6
Pankaj,59,Male,Yes,703,2,Travel,Single Room,1,1,3,3,3,2.2
Akash,33,Male,Yes,104,2,Vacation,Single Room,2,5,5,4,2,3.6
Raghav,26,Male,No,404,1,Vacation,Single Room,4,5,5,4,4,4.4
Ravi,56,Male,Yes,407,4,Vacation,Suite,2,1,1,2,4,2
Pradeep,28,Male,Yes,303,1,Travel,Single Room,5,3,2,5,1,3.2
Naveen,24,Female,No,905,3,Travel,Suite,1,2,1,3,5,2.4
Ramu,29,Female,Yes,705,3,Vacation,Double Room,1,1,3,5,5,3
Harshit,48,Male,Yes,707,4,Vacation,Suite,5,3,1,4,1,2.8
Mahesh,39,Female,Yes,705,3,Vacation,Double Room,4,2,4,2,5,3.4
Harsha,22,Female,No,1009,3,Business,Suite,5,5,5,1,3,3.8
Dinesh,62,Male,Yes,305,2,Education,Single Room,5,5,4,3,2,3.8
Vivaan,68,Male,Yes,108,3,Education,Double Room,4,2,2,2,5,3
Anil,43,Male,Yes,802,1,Travel,Single Room,4,4,3,1,4,3.2
Vijay,51,Male,Yes,604,2,Education,Single Room,1,1,5,3,2,2.4
Anjali,43,Female,No,109,2,Business,Double Room,3,5,4,4,5,4.2
Pradeep,34,Male,No,204,1,Education,Single Room,1,5,2,5,1,2.8
Vijay,20,Male,Yes,302,2,Education,Single Room,5,3,1,5,1,3
Raj,57,Male,No,905,3,Business,Suite,3,1,1,3,2,2
Sharad,45,Male,No,110,2,Travel,Double Room,2,5,3,1,3,2.8
Tanya,62,Female,No,503,1,Vacation,Single Room,5,1,2,2,3,2.6
Arnav,19,Male,Yes,508,4,Business,Suite,3,3,3,2,2,2.6
Pankaj,59,Male,No,1005,3,Business,Suite,2,4,5,4,4,3.8
Rana,20,Male,Yes,202,1,Education,Single Room,5,3,4,3,4,3.8
Isha,59,Female,Yes,1005,4,Vacation,Suite,5,1,3,5,4,3.6
Manish,57,Male,No,308,2,Travel,Double Room,3,1,5,1,4,2.8
Vivaan,51,Male,Yes,310,4,Vacation,Suite,4,3,4,2,3,3.2
Harish,67,Male,No,308,2,Business,Double Room,5,2,5,4,4,4
Priya,27,Female,No,602,1,Travel,Single Room,3,1,2,5,3,2.8
Ravi,44,Male,No,507,3,Education,Suite,5,1,1,5,3,3
Akash,66,Male,No,905,3,Travel,Suite,3,1,2,5,1,2.4
Arnav,32,Male,Yes,107,2,Business,Double Room,2,1,4,4,2,2.6
Bharat,27,Male,Yes,307,2,Education,Double Room,3,1,4,5,3,3.2
Tanya,30,Female,No,207,2,Vacation,Double Room,4,5,4,4,1,3.6
Suman,70,Female,Yes,504,2,Business,Single Room,2,2,1,4,1,2
Vivek,66,Male,Yes,805,3,Education,Suite,1,2,1,4,4,2.4
Mehul,45,Male,Yes,405,2,Business,Double Room,5,5,5,2,3,4
Sameer,61,Male,Yes,507,4,Vacation,Suite,2,2,1,2,5,2.4
Harsha,37,Female,No,304,1,Business,Single Room,5,3,4,3,5,4
Yash,53,Male,No,406,2,Business,Double Room,1,2,4,3,3,2.6
Isha,34,Female,No,906,3,Education,Suite,1,3,4,2,2,2.4
Nikhil,41,Male,No,904,2,Education,Double Room,3,5,4,3,2,3.4
Suman,46,Female,No,209,3,Travel,Suite,2,5,3,2,2,2.8
Nikhil,56,Male,No,903,2,Business,Double Room,4,2,3,5,4,3.6
Riya,40,Female,No,905,3,Vacation,Suite,1,4,2,2,3,2.4
Harsha,40,Female,Yes,906,4,Education,Suite,3,4,4,5,4,4
Anjali,28,Female,No,1010,3,Travel,Suite,2,3,5,3,1,2.8
Rashmi,52,Female,No,402,1,Travel,Single Room,1,4,4,3,4,3.2
Aditya,68,Male,Yes,402,2,Education,Single Room,2,5,5,5,2,3.8
Vikas,41,Male,Yes,401,2,Business,Single Room,3,1,4,2,4,2.8
Siddharth,25,Male,No,207,2,Travel,Double Room,1,1,4,3,3,2.4
Parvati,60,Female,No,308,2,Travel,Double Room,3,4,4,1,3,3
Sameer,69,Male,Yes,504,2,Business,Single Room,4,1,1,3,1,2
Raghav,51,Male,Yes,108,3,Vacation,Double Room,2,5,2,4,4,3.4
Rashmi,62,Female,Yes,702,1,Vacation,Single Room,1,4,1,3,1,2
Suman,51,Female,No,306,2,Travel,Double Room,4,1,5,3,4,3.4
Kiran,31,Female,No,402,1,Business,Single Room,1,3,1,5,5,3
Ravi,35,Male,Yes,1006,3,Vacation,Suite,2,5,3,1,3,2.8
Palak,63,Female,Yes,904,2,Vacation,Double Room,4,3,5,3,5,4
Neha,23,Female,No,906,3,Travel,Suite,3,1,1,1,3,1.8
Aditi,52,Female,No,703,1,Business,Single Room,4,3,5,2,1,3
Gaurav,64,Female,Yes,306,3,Vacation,Double Room,1,2,5,2,4,2.8
Seema,34,Female,No,309,3,Travel,Suite,1,1,5,2,1,2
Rajesh,30,Male,No,805,3,Education,Suite,4,2,2,5,2,3
Nisha,29,Female,Yes,305,1,Vacation,Single Room,4,5,2,3,2,3.2
Meera,39,Female,No,406,2,Travel,Double Room,3,2,5,4,3,3.4
Suman,60,Female,Yes,902,2,Business,Single Room,2,1,1,5,4,2.6
Kavita,66,Female,No,310,3,Education,Suite,2,3,4,4,2,3
Vinod,40,Male,No,601,1,Travel,Single Room,3,4,1,1,5,2.8
Sai,58,Male,Yes,601,2,Vacation,Single Room,5,4,2,3,5,3.8
Shreya,50,Male,No,605,2,Education,Double Room,2,1,4,5,2,2.8
Karthik,70,Male,Yes,1005,4,Vacation,Suite,3,3,3,1,5,3
Akash,64,Male,Yes,803,2,Vacation,Double Room,4,2,2,2,5,3
Pooja,56,Female,No,303,1,Education,Single Room,4,5,5,4,2,4
Suman,65,Female,Yes,903,3,Travel,Double Room,2,1,3,2,1,1.8
Sneha,27,Female,Yes,1001,1,Education,Single Room,5,3,3,5,1,3.4
Parvati,50,Female,No,903,2,Education,Double Room,3,2,5,2,5,3.4
Sunita,38,Female,Yes,1007,3,Education,Suite,1,2,4,5,2,2.8
Nandini,37,Female,Yes,701,2,Education,Single Room,5,5,4,3,4,4.2
Arjun,68,Male,No,701,1,Education,Single Room,3,2,2,4,3,2.8
Rachit,59,Male,No,304,1,Travel,Single Room,4,3,2,3,5,3.4
Rachit,47,Male,No,306,2,Business,Double Room,1,4,5,5,4,3.8
Diya,29,Female,No,404,1,Business,Single Room,1,1,4,3,2,2.2
Deepak,31,Male,No,904,2,Business,Double Room,1,5,3,1,4,2.8
Nandini,33,Female,No,802,1,Vacation,Single Room,1,3,3,2,4,2.6
Meera,55,Female,No,605,2,Education,Double Room,5,4,5,5,5,4.8
Ravi,32,Male,Yes,406,2,Travel,Double Room,5,5,1,1,3,3
Vishal,20,Male,No,406,2,Vacation,Double Room,5,3,3,2,1,2.8
Suman,61,Female,Yes,1007,4,Travel,Suite,3,3,4,4,2,3.2
Puja,60,Female,Yes,605,2,Vacation,Double Room,5,1,1,3,4,2.8
Lakshmi,23,Female,Yes,605,3,Travel,Double Room,1,5,5,4,1,3.2
Raghav,44,Male,Yes,706,2,Vacation,Double Room,4,4,2,4,3,3.4
Lalit,62,Male,Yes,505,2,Education,Double Room,5,1,3,1,1,2.2
Ananya,37,Female,No,905,3,Business,Suite,5,4,2,4,3,3.6
Keshav,66,Male,Yes,803,2,Education,Double Room,1,5,3,1,5,3
Anil,57,Male,No,402,1,Travel,Single Room,1,1,4,2,2,2
Tanvi,64,Female,Yes,602,1,Business,Single Room,5,2,2,1,5,3
Riya,54,Female,No,408,3,Travel,Suite,4,2,1,3,5,3
Lakshmi,39,Female,Yes,606,2,Business,Double Room,2,3,3,4,4,3.2
Arnav,55,Male,No,310,3,Business,Suite,2,1,5,1,3,2.4
Rahul,39,Male,Yes,904,2,Business,Double Room,2,4,2,5,2,3
Shreya,63,Female,Yes,208,3,Travel,Double Room,2,1,5,1,4,2.6
Diya,32,Female,No,508,3,Education,Suite,5,2,4,3,3,3.4
Parvati,59,Female,Yes,508,4,Education,Suite,2,1,4,4,2,2.6
Rashmi,48,Female,Yes,304,2,Education,Single Room,3,5,3,5,2,3.6
Puja,48,Female,Yes,703,1,Education,Single Room,5,1,3,3,2,2.8
Kapil,70,Male,No,1002,1,Business,Single Room,1,3,2,4,1,2.2
Puja,58,Female,No,302,1,Travel,Single Room,1,1,1,5,5,2.6
Shreya,28,Male,No,708,3,Business,Suite,3,5,1,4,1,2.8
Yash,47,Male,Yes,607,4,Education,Suite,2,3,5,3,5,3.6
Harshit,55,Male,No,108,2,Travel,Double Room,1,2,5,2,3,2.6
Ajay,46,Male,No,605,2,Vacation,Double Room,5,5,2,1,1,2.8
Aishwarya,45,Female,No,401,1,Vacation,Single Room,2,3,2,5,1,2.6
Shreya,70,Female,No,806,3,Business,Suite,4,4,1,1,3,2.6
Sanjay,48,Male,Yes,306,3,Business,Double Room,4,5,5,4,3,4.2
Ramu,36,Female,Yes,103,1,Vacation,Single Room,3,4,1,5,1,2.8
Naveen,59,Female,Yes,308,3,Education,Double Room,4,5,4,2,3,3.6
Vivaan,60,Male,Yes,801,2,Education,Single Room,1,4,2,5,4,3.2
Anjali,27,Female,Yes,506,3,Education,Double Room,3,3,1,4,2,2.6
Palak,49,Female,No,707,3,Travel,Suite,4,2,5,5,2,3.6
Vivaan,24,Male,No,1004,2,Business,Double Room,5,3,4,5,1,3.6
Indira,66,Female,Yes,1001,1,Vacation,Single Room,2,4,5,3,4,3.6
Ritika,59,Female,Yes,209,4,Education,Suite,2,1,4,5,1,2.6
Lalit,43,Male,No,903,2,Travel,Double Room,1,1,3,5,3,2.6
Lakshmi,60,Female,No,304,1,Travel,Single Room,4,5,3,4,4,4
Suman,39,Female,Yes,408,3,Business,Suite,1,5,5,3,5,3.8
Krishna,52,Male,No,604,1,Education,Single Room,1,4,4,5,4,3.6
Gaurav,61,Female,Yes,703,1,Business,Single Room,3,2,2,4,2,2.6
Rahul,37,Male,No,1004,2,Travel,Double Room,4,4,1,1,3,2.6
Suman,44,Female,Yes,104,1,Business,Single Room,5,5,3,5,2,4
Karthik,22,Male,No,310,3,Education,Suite,1,4,1,5,1,2.4
Kiran,43,Female,Yes,109,2,Vacation,Double Room,3,5,2,5,1,3.2
Rohan,40,Male,No,604,1,Education,Single Room,4,5,3,3,2,3.4
Vishal,66,Male,Yes,105,1,Business,Single Room,2,4,1,4,3,2.8
Karthik,24,Male,Yes,406,2,Travel,Double Room,2,2,1,2,3,2
Gaurav,55,Female,Yes,1009,3,Vacation,Suite,1,3,3,4,3,2.8
Rohit,57,Female,Yes,203,2,Vacation,Single Room,2,1,1,1,3,1.6
Nisha,51,Female,Yes,304,1,Business,Single Room,1,3,2,2,4,2.4
Aarav,44,Male,No,608,3,Business,Suite,2,3,2,5,1,2.6
Vishal,46,Male,Yes,904,3,Education,Double Room,1,2,3,5,3,2.8
Arnav,50,Male,Yes,306,3,Education,Double Room,2,5,2,2,2,2.6
Keshav,32,Male,Yes,202,1,Vacation,Single Room,3,1,5,1,3,2.6
Gaurav,66,Female,Yes,303,2,Education,Single Room,1,3,3,2,3,2.4
Manish,30,Male,Yes,1003,3,Travel,Double Room,1,1,3,4,4,2.6
Ananya,66,Female,Yes,105,2,Vacation,Single Room,4,1,1,1,2,1.8
Diya,22,Female,No,602,1,Travel,Single Room,2,3,5,1,1,2.4
Vinod,19,Male,No,906,3,Education,Suite,4,5,2,5,4,4
Neha,32,Female,No,1003,2,Business,Double Room,4,4,3,1,2,2.8
Kabir,58,Male,Yes,202,1,Travel,Single Room,1,2,3,3,2,2.2
Mehul,47,Male,No,702,1,Vacation,Single Room,2,4,4,5,2,3.4
Lalit,57,Male,No,605,2,Business,Double Room,3,4,4,4,5,4
Pradeep,50,Male,No,309,3,Travel,Suite,1,4,2,3,5,3
Ravi,49,Male,No,906,3,Vacation,Suite,1,5,5,3,4,3.6
Aishwarya,29,Female,No,505,2,Education,Double Room,1,4,3,3,4,3
Deepika,27,Female,No,608,3,Vacation,Suite,5,5,3,4,3,4
Karthik,23,Male,No,1005,3,Business,Suite,4,3,5,2,5,3.8
Sarika,70,Female,Yes,905,3,Travel,Suite,4,5,4,2,1,3.2
Meera,50,Female,Yes,706,3,Vacation,Double Room,2,5,4,5,1,3.4
Harshit,53,Male,Yes,802,1,Education,Single Room,2,5,3,2,4,3.2
Tanya,23,Female,Yes,105,2,Business,Single Room,2,4,1,2,2,2.2
Shreya,53,Female,Yes,109,3,Business,Double Room,5,2,2,2,4,3
Harsha,23,Female,No,703,1,Travel,Single Room,5,4,3,2,1,3
Riya,42,Female,Yes,803,3,Travel,Double Room,1,4,3,3,5,3.2
Lakshmi,37,Female,Yes,901,1,Vacation,Single Room,2,3,5,1,1,2.4
Aarav,57,Male,No,308,2,Education,Double Room,5,4,3,4,3,3.8
Deepak,46,Male,Yes,704,2,Travel,Single Room,4,4,1,4,1,2.8
